Semana,PLD (R$),Demanda Máxima (MWh/h),Energia Armazenada (MWmês)
1,236.02,49980.927,80511.3515625
2,219.5,49559.056,82698.15625
3,228.54,46713.405999999995,85635.3828125
4,40.16,46090.886,87087.9140625
5,84.83,45039.33,88720.84375
6,122.73,42139.957,90084.46875
7,135.38,44115.982,89362.765625
8,216.86,43739.127,88633.71875
9,305.96,42593.9,87571.640625
10,326.46,43235.09099999999,86666.5859375
11,340.8,40918.098,86625.265625
12,402.29,39478.524,86039.546875
13,440.98,41088.538,85086.5
14,472.21,42969.789000000004,83966.3828125
15,477.77,42265.757000000005,82789.9921875
16,505.18,42757.857,80854.1015625
17,505.18,42678.98,78540.9453125
18,505.18,41635.278,76325.6796875
19,505.18,42709.142,73686.4140625
20,505.18,42274.647000000004,70973.1796875
21,505.18,42066.267,68357.203125
22,505.18,42183.880999999994,66307.4375
23,505.18,41735.364,63414.375
24,505.18,42857.731,59836.359375
25,505.18,45740.890999999996,56718.859375
26,486.25,41237.165,54144.4765625
27,496.28,42493.73,51576.046875
28,491.71,43847.740999999995,49502.13671875
29,441.87,46024.805,47027.8125
30,386.47,46828.944,44304.28125
31,325.52,45266.009000000005,43165.01953125
32,270.28,45988.651,41964.3671875
33,229.71,43940.369000000006,41439.765625
34,142.4,45589.819,40807.4609375
35,149.95,42000.622,40387.44140625
36,120.77,47395.233,41633.1015625
37,119.21,44161.084,43970.25390625
38,100.72,45948.916,48697.26953125
39,59.04,46295.642,52573.3203125
40,66.13,49103.982,53366.703125
41,79.16,50503.833,52984.80078125
42,87.21,43192.453,54245.4921875
43,136.43,46202.865999999995,56822.5546875
44,138.8,49818.442,58037.16796875
45,166.17,52199.639,56688.11328125
46,178.76,52841.937999999995,55198.1015625
47,337.1,52889.435,53910.12109375
48,451.57,47682.066,53275.8203125
49,510.81,50270.6,53530.21875
50,472.96,48182.782999999996,56878.16015625
51,339.46,50508.293,60246.42578125
52,251.81,48665.47,66545.75
53,250.06,48494.003,71459.5703125
54,199.09,49330.074,76512.1171875
55,229.74,47036.494000000006,80360.5
56,210.52,48517.562000000005,81283.6953125
57,181.41,44424.276,84565.6875
58,186.94,44552.582,88834.6328125
59,172.38,45618.092000000004,90612.7265625
60,142.12,44180.58,91975.9921875
61,174.86,44720.02,93090.0625
62,98.21,43613.365,94017.28125
63,136.05,42779.643,95145.1875
64,128.33,43388.441,95507.1484375
65,42.35,42120.121,96727.859375
66,42.35,43077.106,96983.40625
67,78.42,42594.845,96856.9453125
68,124.92,43693.012,95970.53125
69,170.94,43358.72900000001,95073.7890625
70,177.6,41380.297,94831.0703125
71,175.04,41516.797999999995,93629.9140625
72,186.18,42217.819,92307.5390625
73,225.0,42257.633,90392.5859375
74,236.35,42106.044,88614.40625
75,233.3,42387.559,86035.3046875
76,241.04,41377.168,82974.6875
77,247.08,41994.264,80188.0234375
78,200.69,42591.114,76942.4375
79,210.71,47799.39599999999,72872.1171875
80,225.55,48274.03599999999,68258.8984375
81,231.12,42220.013,63911.12890625
82,238.02,45080.09,60249.2421875
83,270.84,43664.2,56513.62109375
84,273.52,47293.744000000006,52414.234375
85,273.51,45872.325,48286.65234375
86,301.65,48260.227999999996,45196.73828125
87,334.73,49062.487,42479.60546875
88,308.2,44338.225999999995,40940.5234375
89,322.84,44965.075999999994,40042.0390625
90,317.33,44425.948,38558.9453125
91,234.99,45246.435999999994,38048.0625
92,217.57,44891.242,38738.171875
93,226.59,47471.069,40116.1015625
94,195.13,42857.288,41268.140625
95,290.33,42582.532999999996,40346.2265625
96,368.51,48501.082,41734.5078125
97,268.32,51230.319,43133.60546875
98,355.42,45959.41099999999,44846.09765625
99,333.0,49938.064000000006,50308.546875
100,190.96,47719.880999999994,54577.16796875
101,150.67,46325.168,64109.69921875
102,146.13,50626.057,71644.640625
103,143.85,45220.402,79211.5859375
104,58.6,44566.04,88493.7109375
105,86.62,48487.473,94102.59375
106,100.86,48992.887,96613.5703125
107,101.98,42709.365999999995,101658.453125
108,39.68,42213.200999999994,105176.6484375
109,39.68,41289.67,107291.3984375
110,39.68,40286.297,108598.3984375
111,39.68,40311.81,110590.4453125
112,39.68,40634.644,111197.984375
113,53.85,40949.358,111328.609375
114,61.33,41402.041,111272.5078125
115,78.88,41043.105,111311.9921875
116,91.41,40427.064,111628.3125
117,104.09,41627.184,110680.59375
118,114.92,41701.291,110359.15625
119,127.68,41165.9,109827.203125
120,117.82,42523.732,107895.578125
121,96.57,41871.568999999996,106357.7265625
122,83.69,42477.259000000005,104725.703125
123,85.45,42507.277,103105.7265625
124,90.32,43018.455,100752.2734375
125,93.25,43454.895,97850.5625
126,92.98,42919.144,94920.90625
127,103.18,44671.293,91444.796875
128,94.16,45304.557,89074.046875
129,58.27,43710.83,87394.546875
130,66.89,44934.059,84086.5546875
131,76.24,46553.221,80009.796875
132,88.98,46192.140999999996,75374.3046875
133,105.54,44376.600999999995,70498.2421875
134,172.67,51161.559,65373.48828125
135,261.89,51156.023,59989.9296875
136,281.43,48026.731,55778.4140625
137,315.94,45038.927,51902.234375
138,317.03,46501.974,48440.30859375
139,370.77,43737.068,46038.55859375
140,559.75,45574.38,42273.578125
141,476.59,46627.736,40372.359375
142,559.75,47911.03,37957.6796875
143,559.75,48910.119000000006,34113.07421875
144,210.74,45278.070999999996,33769.49609375
145,264.24,48640.652,33935.34375
146,198.36,47943.015,35248.4921875
147,220.89,44802.152,38488.90234375
148,297.43,47848.139,40284.43359375
149,306.12,48237.139,42681.0390625
150,215.56,48343.90900000001,46163.30859375
151,184.35,50635.905999999995,47290.48046875
152,152.1,52061.958,48040.390625
153,170.45,45929.508,51318.515625
154,173.37,47418.537000000004,55326.37890625
155,184.15,48652.825999999994,58739.52734375
156,119.64,48788.869000000006,62685.609375
157,70.71,48136.727999999996,66588.7109375
